title,price,frequency,bedrooms,bathrooms,area,location,url,price_clean,price_yearly_aed,bedrooms_clean,bathrooms_clean,area_clean,area_per_bedroom,bathrooms_per_bedroom,log_area,log_price,building,community,property_type_penthouse,property_type_townhouse,property_type_villa,building_grouped_Binghatti Corner,building_grouped_Binghatti Crest,building_grouped_Binghatti Heights,building_grouped_Binghatti House,building_grouped_Binghatti Phantom,building_grouped_Binghatti Phoenix,building_grouped_Binghatti Royale,"building_grouped_Bloom Heights 1, Bloom Heights",building_grouped_DAMAC Ghalia,building_grouped_Fortunato,building_grouped_Imperial Tower,building_grouped_Laya Residences,building_grouped_Other,building_grouped_Pearl House 2,building_grouped_Reef Residence,building_grouped_Rigel Apartments,building_grouped_Rose 10,building_grouped_SH Living 1,building_grouped_Sydney Villas,building_grouped_Westview Garden,district_JVC District 11,district_JVC District 12,district_JVC District 13,district_JVC District 14,district_JVC District 15,district_JVC District 16,district_JVC District 17,district_JVC District 18,district_Unknown
Bright & Elegant unit I With skyline view & closed kitchen I Prime location,"90,000",yearly,2,2,"1,417 sqft","Lolena Residence, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13680510.html,90000,90000,2.0,2.0,1417.0,708.5,1.0,7.257002707092073,11.407576060361786,Lolena Residence,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Stylish 1BR Fully Furnished I Smart Home I Ready to Move,"79,999",yearly,1,2,638 sqft,"Binghatti Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13545569.html,79999,79999,1.0,2.0,638.0,638.0,2.0,6.459904454377535,11.289781913656018,Binghatti Heights,Jumeirah Village Circle (JVC),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brand new upgraded|Specious 1 Bed I Flexible Payment Plan I Ready to move,"67,999",yearly,1,2,997 sqft,"Magnolia 2, Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13542420.html,67999,67999,1.0,2.0,997.0,997.0,2.0,6.905753276311464,11.127262984158243,"Magnolia 2, Emirates Gardens 2",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Modern Touch 2BHK I High end Quality I Nice Layout,"99,000",yearly,2,2,"1,147 sqft","Golden Dream Tower 1, JVC District 18, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-12766382.html,99000,99000,2.0,2.0,1147.0,573.5,1.0,7.045776576879511,11.502885230075814,Golden Dream Tower 1,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Pool Access - Spacious layout - With Appliances,"90,000",yearly,1,2,"1,056 sqft","Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13589404.html,90000,90000,1.0,2.0,1056.0,1056.0,2.0,6.963189985870238,11.407576060361786,Westview Garden,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Book Now -Pool View-1/2/3 BHK,"88,000",yearly,1,2,890 sqft,"Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13539018.html,88000,88000,1.0,2.0,890.0,890.0,2.0,6.792344427470809,11.385103457032141,Westview Garden,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Modern Living | Fully Furnished | Vacant,"99,999",yearly,1,2,853 sqft,"Al Serh Residences 11, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13663866.html,99999,99999,1.0,2.0,853.0,853.0,2.0,6.74993119378857,11.512925464970229,Al Serh Residences 11,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fully Furnished 1BHK | Spacious Layout | Prime JVC Location,"90,000",yearly,1,2,794 sqft,"Binghatti Orchid, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13656719.html,90000,90000,1.0,2.0,794.0,794.0,2.0,6.678342114654332,11.407576060361786,Binghatti Orchid,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chiller W Dewa-Spacious Layout-Multiple Options,"130,000",yearly,2,3,"1,470 sqft","Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13539010.html,130000,130000,2.0,3.0,1470.0,735.0,1.5,7.293697720601438,11.775297421715827,Westview Garden,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Modern Living | Fully Furnished | Vacant,"89,999",yearly,1,2,868 sqft,"Al Serh Residences 11, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13371627.html,89999,89999,1.0,2.0,868.0,868.0,2.0,6.767343125265392,11.407564949312402,Al Serh Residences 11,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AC Inclusive | 12 Cheques | Kitchen Equipped,"68,000",yearly,1,2,864 sqft,"Al Yousuf Tower 1, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13676744.html,68000,68000,1.0,2.0,864.0,864.0,2.0,6.762729506931879,11.127277689932466,"Al Yousuf Tower 1, Al Yousuf Towers",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
AC Inclusive | 12 Cheques | Kitchen Equipped,"75,000",yearly,1,2,"1,146 sqft","Al Yousuf Tower 1, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13493844.html,75000,75000,1.0,2.0,1146.0,1146.0,2.0,7.044905117129371,11.225256725762893,"Al Yousuf Tower 1, Al Yousuf Towers",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12 Cheques | Kitchen Equipped | AC Inclusive,"62,000",yearly,1,2,750 sqft,"Al Yousuf Tower 2, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13478082.html,62000,62000,1.0,2.0,750.0,750.0,2.0,6.621405651764134,11.034905792929415,"Al Yousuf Tower 2, Al Yousuf Towers",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
AC Inclusive | 12 Cheques Kitchen Equipped,"72,000",yearly,1,2,"1,003 sqft","Al Yousuf Tower 1, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13125060.html,72000,72000,1.0,2.0,1003.0,1003.0,2.0,6.911747300251674,11.184435286790631,"Al Yousuf Tower 1, Al Yousuf Towers",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Chiller free | Near circle Mall | multiple cheques,"60,000",yearly,1,1,731 sqft,"Diamond Views III, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13537590.html,60000,60000,1.0,1.0,731.0,731.0,1.0,6.595780513961311,11.002116507732017,Diamond Views III,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
High Floor | Vacating Soon | Spacious | Exclusive,"71,999",yearly,1,2,726 sqft,"La Riviera Apartments, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13519203.html,71999,71999,1.0,2.0,726.0,726.0,2.0,6.588926477533519,11.184421397998193,La Riviera Apartments,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multiple Options | Island Kitchen | Brand New,"89,999",yearly,1,2,765 sqft,"Binghatti Phoenix, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13646292.html,89999,89999,1.0,2.0,765.0,765.0,2.0,6.641182169740591,11.407564949312402,Binghatti Phoenix,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Available From January | Prime Location | Multiple Cheques,"85,000",yearly,1,2,762 sqft,"Concept 7 Residences, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-11193760.html,85000,85000,1.0,2.0,762.0,762.0,2.0,6.637258031284457,11.350418300109132,Concept 7 Residences,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Phantom by Binghatti: A Vision Beyond Luxury,"99,999",yearly,1,2,911 sqft,"Binghatti Phantom, JVC District 17, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13609092.html,99999,99999,1.0,2.0,911.0,911.0,2.0,6.815639990074331,11.512925464970229,Binghatti Phantom,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Binghatti Phantom, Jumeirah Village Circle, Dubai","102,999",yearly,1,2,795 sqft,"Binghatti Phantom, JVC District 17, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13490495.html,102999,102999,1.0,2.0,795.0,795.0,2.0,6.679599185844383,11.542484267211773,Binghatti Phantom,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Refined 2-Bed Apartment | Premium Finishes | Exceptional Comfort,"89,999",yearly,2,3,"1,128 sqft","Rose 10, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13580955.html,89999,89999,2.0,3.0,1128.0,564.0,1.5,7.029087564149662,11.407564949312402,Rose 10,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Massive Duplex 2BR Apartment I Bright Unit I Prime JVC Location,"145,000",yearly,2,3,"2,344 sqft","Al Waleed Building, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13384700.html,145000,145000,2.0,3.0,2344.0,1172.0,1.5,7.76004068088038,11.884495917930655,Al Waleed Building,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Unique Layout I Brand New Building I Closed Kitchen,"119,990",yearly,2,3,"1,300 sqft","SH Living 1, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-12964934.html,119990,119990,2.0,3.0,1300.0,650.0,1.5,7.170888478512505,11.695172018951542,SH Living 1,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Brand New | Fully Furnished | Pool Facing,"104,995",yearly,1,2,755 sqft,"Pearl House 2, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13340019.html,104995,104995,1.0,2.0,755.0,755.0,2.0,6.628041376179533,11.561677533175923,Pearl House 2,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Spacious layout I Dream nest I Prime location,"85,000",yearly,1,2,814 sqft,"Belgravia 3A, Belgravia 3, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13658628.html,85000,85000,1.0,2.0,814.0,814.0,2.0,6.703188113240863,11.350418300109132,"Belgravia 3A, Belgravia 3",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Park View | Spacious 1BR + 2 Bath | Available Now,"85,000",yearly,1,2,799 sqft,"Binghatti Phoenix, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13670088.html,85000,85000,1.0,2.0,799.0,799.0,2.0,6.684611727667927,11.350418300109132,Binghatti Phoenix,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Spacious 1BHK | Balcony | Premium Amenities,"65,000",yearly,1,2,978 sqft,"Lavender 2, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13672198.html,65000,65000,1.0,2.0,978.0,978.0,2.0,6.88653164253051,11.082157933374816,"Lavender 2, Emirates Gardens",Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2 BR+ Maid | Spacious | Dishwasher,"115,000",yearly,2,3,"1,234 sqft","Lucky 1 Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13000702.html,115000,115000,2.0,3.0,1234.0,617.0,1.5,7.118826249062078,11.652696102959753,Lucky 1 Residences,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
"Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC), Dubai","84,999",yearly,2,2,959 sqft,"Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13707028.html,84999,84999,2.0,2.0,959.0,479.5,1.0,6.866933284461882,11.350406535472453,Binghatti Rose,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Brand New - Pool View - Multiple Options,"88,000",yearly,1,2,890 sqft,"Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13539005.html,88000,88000,1.0,2.0,890.0,890.0,2.0,6.792344427470809,11.385103457032141,Westview Garden,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Spacious 2-Bedroom Apartment – Community & Park View,"135,000",yearly,2,3,"1,481 sqft","Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13194127.html,135000,135000,2.0,3.0,1481.0,740.5,1.5,7.301147805856032,11.813037464800539,Westview Garden,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Vacant | Garden View | Fully furnished,"84,999",yearly,1,1,621 sqft,"Luma21, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13709157.html,84999,84999,1.0,1.0,621.0,621.0,1.0,6.432940092739179,11.350406535472453,Luma21,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Fully Furnished |pool view| Brand New,"100,000",yearly,1,2,745 sqft,"Pearl House by Imtiaz, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13067653.html,100000,100000,1.0,2.0,745.0,745.0,2.0,6.61472560020376,11.51293546492023,Pearl House by Imtiaz,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Modern Furnished | Prime Location | Ready To Move,"85,000",yearly,1,2,758 sqft,"Oxford Residence 2, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13277682.html,85000,85000,1.0,2.0,758.0,758.0,2.0,6.6320017773956295,11.350418300109132,Oxford Residence 2,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Smart 1BR + Maids | Chiller Free | Book Now,"80,000",yearly,1,2,852 sqft,"Avanos Residence, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13005708.html,80000,80000,1.0,2.0,852.0,852.0,2.0,6.748759547491679,11.289794413577894,Avanos Residence,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUXURY MODERN 1 BEDROOM / CLOSE KITCHEN/ WITH BALCONY/ READY TO MOVE,"80,000",yearly,1,1,813 sqft,"SH Living 1, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13521170.html,80000,80000,1.0,1.0,813.0,813.0,1.0,6.70196036600254,11.289794413577894,SH Living 1,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Spacious 2BR Duplex | Big Terrace | Prime JVC Location,"130,000",yearly,2,3,"1,942 sqft","Royal JVC Building, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13672808.html,130000,130000,2.0,3.0,1942.0,971.0,1.5,7.57198844937744,11.775297421715827,Royal JVC Building,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spacious 1 Bedroom | Balcony | Ready to Move In,"70,000",yearly,1,2,803 sqft,"Crystal Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13668623.html,70000,70000,1.0,2.0,803.0,803.0,2.0,6.6895992691789665,11.156264806643742,Crystal Residence,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Spacious, | Fitted Kitchen Appliances| Modern","70,000",yearly,1,2,805 sqft,"Rigel Apartments, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13154316.html,70000,70000,1.0,2.0,805.0,805.0,2.0,6.692083742506628,11.156264806643742,Rigel Apartments,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Spacious Duplex | 2BHK+Maid | Upgraded Unit,"155,000",yearly,2,3,"2,501 sqft","Fortunato, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13380428.html,155000,155000,2.0,3.0,2501.0,1250.5,1.5,7.824845691026857,11.951186847493476,Fortunato,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Brand New | Bigger Layout | Multiple Options,"134,999",yearly,2,2,"1,202 sqft","Binghatti Phoenix, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13416694.html,134999,134999,2.0,2.0,1202.0,601.0,1.0,7.0925737159746784,11.813030057420567,Binghatti Phoenix,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Brand New | Best Layout | Multiple Options,"84,999",yearly,1,2,800 sqft,"Binghatti Phoenix, JVC District 13, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13477581.html,84999,84999,1.0,2.0,800.0,800.0,2.0,6.68586094706836,11.350406535472453,Binghatti Phoenix,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ready To Move-In | 1 Bed + Study | Top Quality | Huge Layout | Best Amenities,"104,000",yearly,1,2,855 sqft,"Oxford Terraces, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13094173.html,104000,104000,1.0,2.0,855.0,855.0,2.0,6.752270376141742,11.552155793461898,Oxford Terraces,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
spacious 1 BR - Apartment I Great Finishing I Cozy & Bright Living,"65,000",yearly,1,2,829 sqft,"Oxford Building, JVC District 14, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13589268.html,65000,65000,1.0,2.0,829.0,829.0,2.0,6.721425700790643,11.082157933374816,Oxford Building,Jumeirah Village Circle (JVC),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
