title,price,property_type,frequency,bedrooms,bathrooms,area,location,url,price_clean,price_yearly_aed,bedrooms_clean,bathrooms_clean,area_clean
Pool Access - Spacious layout - With Appliances,"90,000",Apartment,yearly,1,2,"1,056 sqft","Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13589404.html,90000,90000,1.0,2.0,1056.0
Book Now -Pool View-1/2/3 BHK,"88,000",Apartment,yearly,1,2,890 sqft,"Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13539018.html,88000,88000,1.0,2.0,890.0
Modern Living | Fully Furnished | Vacant,"99,999",Apartment,yearly,1,2,853 sqft,"Al Serh Residences 11, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13663866.html,99999,99999,1.0,2.0,853.0
Fully Furnished 1BHK | Spacious Layout | Prime JVC Location,"90,000",Apartment,yearly,1,2,794 sqft,"Binghatti Orchid, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13656719.html,90000,90000,1.0,2.0,794.0
Chiller W Dewa-Spacious Layout-Multiple Options,"130,000",Apartment,yearly,2,3,"1,470 sqft","Westview Garden, JVC District 15, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13539010.html,130000,130000,2.0,3.0,1470.0
Modern Living | Fully Furnished | Vacant,"89,999",Apartment,yearly,1,2,868 sqft,"Al Serh Residences 11, JVC District 10, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13371627.html,89999,89999,1.0,2.0,868.0
AC Inclusive | 12 Cheques | Kitchen Equipped,"68,000",Apartment,yearly,1,2,864 sqft,"Al Yousuf Tower 1, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13676744.html,68000,68000,1.0,2.0,864.0
AC Inclusive | 12 Cheques | Kitchen Equipped,"75,000",Apartment,yearly,1,2,"1,146 sqft","Al Yousuf Tower 1, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13493844.html,75000,75000,1.0,2.0,1146.0
12 Cheques | Kitchen Equipped | AC Inclusive,"62,000",Apartment,yearly,1,2,750 sqft,"Al Yousuf Tower 2, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13478082.html,62000,62000,1.0,2.0,750.0
AC Inclusive | 12 Cheques Kitchen Equipped,"72,000",Apartment,yearly,1,2,"1,003 sqft","Al Yousuf Tower 1, Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13125060.html,72000,72000,1.0,2.0,1003.0
Chiller free | Near circle Mall | multiple cheques,"60,000",Apartment,yearly,1,1,731 sqft,"Diamond Views III, JVC District 11, Jumeirah Village Circle (JVC), Dubai",https://www.bayut.com/property/details-13537590.html,60000,60000,1.0,1.0,731.0
